term,sage,freq
memorize,1.83655394657,981
concept,1.82895493371,16973
consepts,1.81536873238,56
cocepts,1.81330058563,54
ideas,1.80410744533,319
concpets,1.80321481296,46
conceps,1.79298126155,40
understnad,1.78884594679,38
memorise,1.78155562418,170
theorem,1.7810793055,57
undertand,1.77273280743,93
understaning,1.76672680634,30
undestanding,1.75156323194,43
conceptual,1.75156323194,43
concepts,1.75156323194,43
undersatnd,1.74568072433,41
textbook,1.74388349544,167
facts,1.74029228489,24
memorization,1.74029228489,24
topice,1.72820433868,22
factual,1.72305026546,89
theoratical,1.71363062385,20
comcepts,1.71363062385,20
fatcs,1.71363062385,20
conepts,1.71363062385,20
mug,1.70674141352,68
gravity,1.699487325,112
theorical,1.69798382789,53
theoretical,1.69727042862,99
photosynthesis,1.6957064964,18
conceots,1.6957064964,18
chord,1.6957064964,18
cocept,1.6957064964,18
concepst,1.6957064964,18
undestand,1.69310437652,108
atom,1.69111256338,51
understand,1.6879053637,15143
understant,1.68354739366,124
understan,1.68220449268,38
gravitation,1.67953854445,27
conceptualization,1.6731068897,16
chronological,1.6731068897,16
rusting,1.6731068897,16
romanticism,1.6731068897,16
factes,1.6731068897,16
learnig,1.66473658189,103
formula,1.6644563085,493
understanding,1.66068416153,2247
understading,1.64688011785,59
learning,1.6465038003,1414
idias,1.64534710225,23
ides,1.64534710225,23
triangle,1.64368488409,14
understanting,1.64368488409,14
conceptualise,1.64368488409,14
oss,1.64368488409,14
verb,1.64368488409,14
comprehension,1.64277080586,102
fact,1.6410243218,22989
equation,1.63722586789,91
idears,1.6231387636,21
undestood,1.6231387636,21
sudents,1.6231387636,21
theoritical,1.615458206,44
idea,1.61352456072,20724
undertanding,1.61300897557,28
uderstanding,1.60369218317,12
euclide,1.60369218317,12
undersatnding,1.60369218317,12
understaing,1.60369218317,12
understandind,1.60369218317,12
clearity,1.60369218317,12
understad,1.60369218317,12
lern,1.60298956842,42
studen,1.59597778772,19
theacher,1.59597778772,19
realist,1.59597778772,19
learing,1.59022029937,191
abstract,1.58051386353,136
chapter,1.57542214517,45
understandig,1.56834816674,24
byscle,1.56194286376,17
monarchy,1.56194286376,17
comprehend,1.55839979146,133
analytical,1.55122270604,48
studens,1.55034841625,29
sodium,1.54584123021,10
memorazing,1.54584123021,10
students,1.54584123021,10
rote,1.54584123021,10
fugue,1.54584123021,10
leacture,1.54584123021,10
skeleton,1.54584123021,10
corp,1.54584123021,10
stduents,1.54584123021,10
unterstand,1.54584123021,10
facs,1.54584123021,10
knowning,1.54584123021,10
leran,1.53769988139,34
classroom,1.52671336268,121
communism,1.52551111153,27
throughly,1.52551111153,27
student,1.52264619311,18202
studends,1.5179199649,15
sutdents,1.5179199649,15
undrestand,1.5179199649,15
liberalism,1.5179199649,15
understood,1.5179199649,15
dialogue,1.5179199649,15
thoery,1.5179199649,15
hitler,1.50903041344,37
theory,1.49883070894,1294
applicate,1.4963745893,25
learn,1.49418706819,18112
teaching,1.49230112574,271
lab,1.47790236311,127
teacher,1.47263575184,1899
undersand,1.4628624484,33
studets,1.46052870303,18
doctrine,1.46052870303,18
anderstand,1.46052870303,18
beilive,1.45842819281,13
leraning,1.45842819281,13
prooved,1.45842819281,13
didactic,1.45842819281,13
forgetten,1.45842819281,13
understang,1.45842819281,13
nazi,1.45842819281,13
liken,1.45323607351,8
swmming,1.45323607351,8
potassium,1.45323607351,8
clases,1.45323607351,8
montaigne,1.45323607351,8
invation,1.45323607351,8
quelch,1.45323607351,8
esence,1.45323607351,8
imoportant,1.45323607351,8
formules,1.45323607351,8
understnading,1.45323607351,8
crusade,1.45323607351,8
watermelon,1.45323607351,8
nationalism,1.45323607351,8
thaughts,1.45323607351,8
knowridge,1.45323607351,8
microorganism,1.45323607351,8
analizing,1.45323607351,8
1945,1.45323607351,8
substract,1.45323607351,8
formulars,1.45323607351,8
inportance,1.45323607351,8
subsystem,1.45323607351,8
understands,1.45323607351,8
soluve,1.45323607351,8
earthquack,1.45323607351,8
mathemetics,1.45323607351,8
leraned,1.45323607351,8
conceptes,1.45323607351,8
practicaly,1.45323607351,8
understund,1.45323607351,8
pythagoras,1.45323607351,8
diagram,1.45323607351,8
reactant,1.45323607351,8
cement,1.45323607351,8
idaes,1.45323607351,8
knowlge,1.45323607351,8
concret,1.45323607351,8
conceptually,1.45323607351,8
memorice,1.45323607351,8
similation,1.45323607351,8
displacement,1.45323607351,8
spherical,1.45323607351,8
mugging,1.45323607351,8
taugh,1.45323607351,8
instructor,1.44714999429,51
lean,1.43894849894,163
plato,1.42875186469,26
relevance,1.42875186469,26
text,1.40600201936,244
studnets,1.40402124016,16
fundament,1.40402124016,16
reflexion,1.40262464456,29
frog,1.40209983715,42
lerning,1.39320369434,37
lecture,1.38899711885,312
grasp,1.3830183286,145
learnt,1.38138990144,32
logical,1.37829884466,264
uderstand,1.37250485941,11
praxis,1.37250485941,11
memorising,1.37250485941,11
answere,1.37250485941,11
unerstanding,1.37250485941,11
gist,1.37250485941,11
cleary,1.37250485941,11
friction,1.37250485941,11
practical,1.37139505931,596
trainee,1.36704478246,19
phylosophy,1.36704478246,19
teachers,1.36704478246,19
methodology,1.36492496477,27
implementation,1.36379700716,35
vocabulary,1.36309972979,43
logically,1.35340502676,62
exam,1.35267514981,836
maths,1.3489869613,38
reproduce,1.3483090767,81
multiplication,1.34034063871,22
viceversa,1.34034063871,22
application,1.33218105996,250
solving,1.32772313444,14
counseling,1.32772313444,14
qustion,1.32772313444,14
swear,1.32772313444,14
educative,1.32772313444,14
underlie,1.32746331855,63
beneath,1.32017838153,25
date,1.3183252757,441
grammar,1.31738558325,36
analyse,1.31387915191,209
mere,1.30556982287,177
improtant,1.29355090039,56
behind,1.28470603857,993
mathematical,1.28254398691,90
knowlest,1.26752060094,6
mathmatical,1.26752060094,6
ieads,1.26752060094,6
orbitals,1.26752060094,6
valiety,1.26752060094,6
kwoledge,1.26752060094,6
neuron,1.26752060094,6
discuess,1.26752060094,6
undestands,1.26752060094,6
againe,1.26752060094,6
expirement,1.26752060094,6
socrate,1.26752060094,6
testpaper,1.26752060094,6
wars,1.26752060094,6
schubert,1.26752060094,6
flour,1.26752060094,6
evaporation,1.26752060094,6
narative,1.26752060094,6
proton,1.26752060094,6
seitenlage,1.26752060094,6
applying,1.26752060094,6
formule,1.26752060094,6
qunlity,1.26752060094,6
houseparent,1.26752060094,6
abstraction,1.26752060094,6
coure,1.26752060094,6
triad,1.26752060094,6
undrstanding,1.26752060094,6
undersdtand,1.26752060094,6
memerise,1.26752060094,6
kettle,1.26752060094,6
undertsand,1.26752060094,6
formura,1.26752060094,6
analytic,1.26752060094,6
chosse,1.26752060094,6
passively,1.26752060094,6
stude,1.26752060094,6
conecpts,1.26752060094,6
milton,1.26752060094,6
discase,1.26752060094,6
persuisve,1.26752060094,6
nazism,1.26752060094,6
idead,1.26752060094,6
incedents,1.26752060094,6
prosesses,1.26752060094,6
teacing,1.26752060094,6
pedagogic,1.26752060094,6
capaeble,1.26752060094,6
deas,1.26752060094,6
fascism,1.26752060094,6
orally,1.26752060094,6
cencepts,1.26752060094,6
swell,1.26752060094,6
atudents,1.26752060094,6
thorougly,1.26752060094,6
conceptualisation,1.26752060094,6
understans,1.26752060094,6
constructivity,1.26752060094,6
glial,1.26752060094,6
kyle,1.26752060094,6
absorbance,1.26752060094,6
reagent,1.26752060094,6
experminent,1.26752060094,6
teater,1.26752060094,6
ntt,1.26752060094,6
enrmy,1.26752060094,6
stabile,1.26752060094,6
concepsts,1.26752060094,6
undetstand,1.26752060094,6
comprehending,1.26752060094,6
difficut,1.26752060094,6
knolowdge,1.26752060094,6
lerned,1.26752060094,6
schroeder,1.26752060094,6
circumference,1.26752060094,6
assault,1.26752060094,6
kiln,1.26752060094,6
pedagogy,1.26752060094,6
papper,1.26752060094,6
holocaust,1.26752060094,6
physiks,1.26752060094,6
inquisitiveness,1.26752060094,6
remembering,1.26752060094,6
parrot,1.26752060094,6
laudry,1.26752060094,6
concerpt,1.26752060094,6
thoughs,1.26752060094,6
fomula,1.26752060094,6
maching,1.26752060094,6
10th,1.26752060094,6
expriment,1.26752060094,6
phenomina,1.26752060094,6
storming,1.26752060094,6
memerize,1.26752060094,6
temperture,1.26752060094,6
studants,1.26752060094,6
moveover,1.26752060094,6
lid,1.26752060094,6
explication,1.26752060094,6
auschwitz,1.26752060094,6
articl,1.26752060094,6
becous,1.26752060094,6
conce,1.26752060094,6
tomb,1.26752060094,6
undesrtand,1.26752060094,6
concep,1.26752060094,6
convepts,1.26752060094,6
gdp,1.26598262541,23
remember,1.26294010631,1438
lecturer,1.26175838947,77
examination,1.25909036819,134
lesson,1.25380153586,471
recall,1.25290532544,86
logic,1.25085600412,149
reasoning,1.25061889409,109
thaught,1.24687581655,29
pyramid,1.24687581655,29
sequence,1.24687581655,29
analyze,1.24506127143,227
underlying,1.23454799464,35
assignement,1.23215700895,9
getting,1.23215700895,9
formulaes,1.23215700895,9
theach,1.23215700895,9
understanging,1.23215700895,9
undertstand,1.23215700895,9
analized,1.23215700895,9
bastille,1.23215700895,9
unchangable,1.23215700895,9
karate,1.23215700895,9
swelling,1.23215700895,9
newtons,1.23215700895,9
practicals,1.23215700895,9
knowned,1.23215700895,9
memorizing,1.23215700895,9
recite,1.23215700895,9
vere,1.23215700895,9
intial,1.23215700895,9
revision,1.23215700895,9
questionning,1.23215700895,9
rememeber,1.23215700895,9
interpretate,1.23215700895,9
1789,1.23215700895,9
wats,1.23215700895,9
thourough,1.23215700895,9
galilei,1.23215700895,9
appened,1.23215700895,9
critisize,1.23215700895,9
math,1.22766058268,836
learnning,1.21652747551,12
algorithm,1.21652747551,12
conceptualize,1.21652747551,12
consept,1.21652747551,12
learner,1.21473416338,53
quiz,1.21088220666,59
newton,1.20992509681,153
deduce,1.2078347395,15
educator,1.2078347395,15
teach,1.20730034399,1700
witout,1.20231982092,18
aristotle,1.20231982092,18
gear,1.19851304422,21
algebra,1.19572762307,24
lear,1.19360108752,27
atomic,1.19360108752,27
formulate,1.19056861722,33
anatomy,1.18944984032,36
democracy,1.18590171597,51
apply,1.17625538977,1207
test,1.17390628757,782
concrete,1.16652317779,100
practically,1.1587942988,140
learnd,1.15688473855,55
hypothesis,1.15561819308,52
professor,1.1524303756,473
forget,1.15185413272,1236
class,1.1509308249,1939
war,1.15028931615,770
galileo,1.14852840619,40
data,1.14662651076,184
fish,1.13641989981,102
c,1.13397921844,62
assimilate,1.12897259541,25
digest,1.12139929408,22
basic,1.11104428926,1327
complementary,1.11100096741,19
singular,1.11100096741,19
studing,1.10983074732,41
pupil,1.10386042103,79
permanently,1.09578517118,16
encyclopedia,1.09578517118,16
archive,1.09578517118,16
ecosystem,1.09578517118,16
diagnosis,1.09578517118,16
inference,1.09578517118,16
principle,1.08681594079,284
analize,1.08652976284,48
mathmatics,1.07994038575,45
blindly,1.07994038575,45
gravitational,1.0783356115,29
la,1.0783356115,29
brain,1.0775386796,565
profesor,1.07117335621,13
unerstand,1.07117335621,13
roommate,1.07117335621,13
preparated,1.07117335621,13
valueable,1.07117335621,13
idear,1.07117335621,13
derivation,1.07117335621,13
explanatory,1.07117335621,13
knowleg,1.07117335621,13
literary,1.07117335621,13
treaty,1.07117335621,13
coherent,1.07117335621,13
renaissance,1.07117335621,13
process,1.06437583213,1328
fundamental,1.06190546146,224
ideology,1.05276199888,36
important,1.04923397532,11162
derive,1.04609828798,151
remeber,1.04604313794,46
importent,1.04184118482,56
tought,1.04039482955,89
reaction,1.03344730696,149
independently,1.03344568526,53
seminar,1.03344568526,53
applicable,1.03065848589,73
explaning,1.02413026947,20
aproach,1.02281539892,10
quetions,1.02281539892,10
rember,1.02281539892,10
gust,1.02281539892,10
conslusion,1.02281539892,10
learnin,1.02281539892,10
grid,1.02281539892,10
observable,1.02281539892,10
understanded,1.02281539892,10
learend,1.02281539892,10
impotance,1.02281539892,10
learining,1.02281539892,10
formulation,1.02281539892,10
easlier,1.02281539892,10
mechanism,1.01813091942,87
impotant,1.01737848809,77
motion,1.01303575497,47
book,1.0100978217,1332
solid,1.00552507869,108
manual,1.00391729506,27
acid,1.00391729506,27
importnat,1.00391729506,27
visualize,1.00391729506,27
meaning,0.993564801213,507
happning,0.988851355234,17
originality,0.988851355234,17
investigation,0.988784142593,58
philosopher,0.988697399574,99
basis,0.986381612752,448
proceed,0.98492534925,65
correctly,0.984361061926,113
implement,0.979453116632,244
molecule,0.977354186797,24
heart,0.969422787859,578
roman,0.968202605913,38
useless,0.966324637912,274
elaborate,0.964300801643,52
ii,0.964300801643,52
origin,0.962143729457,66
solve,0.949960196758,1618
retain,0.949430139777,49
reflection,0.949430139777,49
historian,0.94845006813,42
revise,0.944702904809,28
formation,0.943517630226,88
velocity,0.940370604465,21
dna,0.940370604465,21
verify,0.935479355204,53
foundation,0.933576148628,149
separate,0.930109159264,71
practise,0.928549463867,121
memory,0.926284817755,571
accurately,0.923532785109,57
aswell,0.920748082644,32
imagination,0.92035876827,197
history,0.919527581462,1912
misunderstand,0.918711283643,50
historical,0.918043450226,323
exemples,0.90894265895,25
imporant,0.90894265895,25
ph,0.90894265895,25
principal,0.906760580621,83
chemistry,0.902117296037,294
flat,0.902007081235,76
explain,0.893240171728,1689
score,0.892846747395,146
author,0.889560437231,128
transmit,0.888138454053,40
topic,0.887626897013,2878
importants,0.887111744064,29
importan,0.887111744064,29
stimulate,0.882826797009,77
frame,0.879591379903,55
reading,0.878454434323,129
profound,0.87494960415,70
stud,0.873977409731,211
merely,0.873298002394,174
framework,0.871145565128,33
practice,0.868959127278,569
grade,0.868516798215,491
base,0.867402334784,1531
thinking,0.867190282978,812
theme,0.865264710639,119
educational,0.860358496155,258
1960,0.858220714042,22
preview,0.858220714042,22
organism,0.858220714042,22
laboratory,0.854035016559,71
happend,0.853324134299,120
explanation,0.852238285503,203
incident,0.851195203837,90
physic,0.838834995971,418
procedure,0.836320649944,110
philosophy,0.835854598689,152
iron,0.835488546911,49
critical,0.834802964814,217
internship,0.833436877664,72
protocol,0.830678114565,30
importance,0.826018654378,1075
repeat,0.82447124118,234
clear,0.81951508214,891
dictionary,0.816355677362,38
event,0.81254650772,1012
nursing,0.811519033363,42
biology,0.808914082613,400
adolf,0.808083735076,7
roosevelt,0.808083735076,7
studend,0.808083735076,7
fristly,0.808083735076,7
argumentative,0.808083735076,7
enginer,0.808083735076,7
theorie,0.808083735076,7
remerber,0.808083735076,7
esample,0.808083735076,7
afact,0.808083735076,7
elaboration,0.808083735076,7
coherently,0.808083735076,7
inequality,0.808083735076,7
hystorical,0.808083735076,7
voltage,0.808083735076,7
sentance,0.808083735076,7
rotation,0.808083735076,7
shuold,0.808083735076,7
concets,0.808083735076,7
conversion,0.808083735076,7
idealist,0.808083735076,7
sonata,0.808083735076,7
applicability,0.808083735076,7
bride,0.808083735076,7
theachers,0.808083735076,7
drow,0.808083735076,7
meaing,0.808083735076,7
taughts,0.808083735076,7
centries,0.808083735076,7
occurences,0.808083735076,7
explenation,0.808083735076,7
thouroughly,0.808083735076,7
laws,0.808083735076,7
emotinal,0.808083735076,7
18th,0.808083735076,7
abilites,0.808083735076,7
familer,0.808083735076,7
fa,0.808083735076,7
